step,total_agents,evacuated,moving,blocked,panic,avg_stress,evacuation_rate
275,25,1,0,24,0,0.0,0.04
276,25,1,0,24,0,0.0,0.04
277,25,1,0,24,0,0.0,0.04
278,25,1,0,24,0,0.0,0.04
279,25,1,0,24,0,0.0,0.04
280,25,1,0,24,0,0.0,0.04
281,25,1,0,24,0,0.0,0.04
282,25,1,0,24,0,0.0,0.04
283,25,1,0,24,0,0.0,0.04
284,25,1,0,24,0,0.0,0.04
285,25,1,0,24,0,0.0,0.04
286,25,1,0,24,0,0.0,0.04
287,25,1,0,24,0,0.0,0.04
288,25,1,0,24,0,0.0,0.04
289,25,1,0,24,0,0.0,0.04
290,25,1,0,24,0,0.0,0.04
291,25,1,0,24,0,0.0,0.04
292,25,1,0,24,0,0.0,0.04
293,25,1,0,24,0,0.0,0.04
294,25,1,0,24,0,0.0,0.04
295,25,1,0,24,0,0.0,0.04
296,25,1,0,24,0,0.0,0.04
297,25,1,0,24,0,0.0,0.04
298,25,1,0,24,0,0.0,0.04
299,25,1,0,24,0,0.0,0.04
300,25,1,0,24,0,0.0,0.04
301,25,1,0,24,0,0.0,0.04
302,25,1,0,24,0,0.0,0.04
303,25,1,0,24,0,0.0,0.04
304,25,1,0,24,0,0.0,0.04
305,25,1,0,24,0,0.0,0.04
306,25,1,0,24,0,0.0,0.04
307,25,1,0,24,0,0.0,0.04
308,25,1,0,24,0,0.0,0.04
309,25,1,0,24,0,0.0,0.04
310,25,1,0,24,0,0.0,0.04
311,25,1,0,24,0,0.0,0.04
312,25,1,0,24,0,0.0,0.04
313,25,1,0,24,0,0.0,0.04
314,25,1,0,24,0,0.0,0.04
315,25,1,0,24,0,0.0,0.04
316,25,1,0,24,0,0.0,0.04
317,25,1,0,24,0,0.0,0.04
318,25,1,0,24,0,0.0,0.04
319,25,1,0,24,0,0.0,0.04
320,25,1,0,24,0,0.0,0.04
321,25,1,0,24,0,0.0,0.04
322,25,1,0,24,0,0.0,0.04
323,25,1,0,24,0,0.0,0.04
324,25,1,0,24,0,0.0,0.04
325,25,1,0,24,0,0.0,0.04
326,25,1,0,24,0,0.0,0.04
327,25,1,0,24,0,0.0,0.04
328,25,1,0,24,0,0.0,0.04
329,25,1,0,24,0,0.0,0.04
330,25,1,0,24,0,0.0,0.04
331,25,1,0,24,0,0.0,0.04
332,25,1,0,24,0,0.0,0.04
333,25,1,0,24,0,0.0,0.04
334,25,1,0,24,0,0.0,0.04
335,25,1,0,24,0,0.0,0.04
336,25,1,0,24,0,0.0,0.04
337,25,1,0,24,0,0.0,0.04
338,25,1,0,24,0,0.0,0.04
339,25,1,0,24,0,0.0,0.04
340,25,1,0,24,0,0.0,0.04
341,25,1,0,24,0,0.0,0.04
342,25,1,0,24,0,0.0,0.04
343,25,1,0,24,0,0.0,0.04
344,25,1,0,24,0,0.0,0.04
345,25,1,0,24,0,0.0,0.04
346,25,1,0,24,0,0.0,0.04
347,25,1,0,24,0,0.0,0.04
348,25,1,0,24,0,0.0,0.04
349,25,1,0,24,0,0.0,0.04
350,25,1,0,24,0,0.0,0.04
351,25,1,0,24,0,0.0,0.04
352,25,1,0,24,0,0.0,0.04
353,25,1,0,24,0,0.0,0.04
354,25,1,0,24,0,0.0,0.04
355,25,1,0,24,0,0.0,0.04
356,25,1,0,24,0,0.0,0.04
357,25,1,0,24,0,0.0,0.04
358,25,1,0,24,0,0.0,0.04
359,25,1,0,24,0,0.0,0.04
360,25,1,0,24,0,0.0,0.04
361,25,1,0,24,0,0.0,0.04
362,25,1,0,24,0,0.0,0.04
363,25,1,0,24,0,0.0,0.04
364,25,1,0,24,0,0.0,0.04
365,25,1,0,24,0,0.0,0.04
366,25,1,0,24,0,0.0,0.04
367,25,1,0,24,0,0.0,0.04
368,25,1,0,24,0,0.0,0.04
369,25,1,0,24,0,0.0,0.04
370,25,1,0,24,0,0.0,0.04
371,25,1,0,24,0,0.0,0.04
372,25,1,0,24,0,0.0,0.04
373,25,1,0,24,0,0.0,0.04
374,25,1,0,24,0,0.0,0.04
375,25,1,0,24,0,0.0,0.04
376,25,1,0,24,0,0.0,0.04
377,25,1,0,24,0,0.0,0.04
378,25,1,0,24,0,0.0,0.04
379,25,1,0,24,0,0.0,0.04
380,25,1,0,24,0,0.0,0.04
381,25,1,0,24,0,0.0,0.04
382,25,1,0,24,0,0.0,0.04
383,25,1,0,24,0,0.0,0.04
384,25,1,0,24,0,0.0,0.04
385,25,1,0,24,0,0.0,0.04
386,25,1,0,24,0,0.0,0.04
387,25,1,0,24,0,0.0,0.04
388,25,1,0,24,0,0.0,0.04
389,25,1,0,24,0,0.0,0.04
390,25,1,0,24,0,0.0,0.04
391,25,1,0,24,0,0.0,0.04
392,25,1,0,24,0,0.0,0.04
393,25,1,0,24,0,0.0,0.04
394,25,1,0,24,0,0.0,0.04
395,25,1,0,24,0,0.0,0.04
396,25,1,0,24,0,0.0,0.04
397,25,1,0,24,0,0.0,0.04
398,25,1,0,24,0,0.0,0.04
399,25,1,0,24,0,0.0,0.04
400,25,1,0,24,0,0.0,0.04
401,25,1,0,24,0,0.0,0.04
402,25,1,0,24,0,0.0,0.04
403,25,1,0,24,0,0.0,0.04
404,25,1,0,24,0,0.0,0.04
405,25,1,0,24,0,0.0,0.04
406,25,1,0,24,0,0.0,0.04
407,25,1,0,24,0,0.0,0.04
408,25,1,0,24,0,0.0,0.04
409,25,1,0,24,0,0.0,0.04
410,25,1,0,24,0,0.0,0.04
411,25,1,0,24,0,0.0,0.04
412,25,1,0,24,0,0.0,0.04
413,25,1,0,24,0,0.0,0.04
414,25,1,0,24,0,0.0,0.04
415,25,1,0,24,0,0.0,0.04
416,25,1,0,24,0,0.0,0.04
417,25,1,0,24,0,0.0,0.04
418,25,1,0,24,0,0.0,0.04
419,25,1,0,24,0,0.0,0.04
420,25,1,0,24,0,0.0,0.04
421,25,1,0,24,0,0.0,0.04
422,25,1,0,24,0,0.0,0.04
423,25,1,0,24,0,0.0,0.04
424,25,1,0,24,0,0.0,0.04
425,25,1,0,24,0,0.0,0.04
426,25,1,0,24,0,0.0,0.04
427,25,1,0,24,0,0.0,0.04
428,25,1,0,24,0,0.0,0.04
429,25,1,0,24,0,0.0,0.04
430,25,1,0,24,0,0.0,0.04
431,25,1,0,24,0,0.0,0.04
432,25,1,0,24,0,0.0,0.04
433,25,1,0,24,0,0.0,0.04
434,25,1,0,24,0,0.0,0.04
435,25,1,0,24,0,0.0,0.04
436,25,1,0,24,0,0.0,0.04
437,25,1,0,24,0,0.0,0.04
438,25,1,0,24,0,0.0,0.04
